Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Exact_Switch_Time
26.0,40,194.1990507281087,True,26.0,28.0,13.0,13.10577846334624,2024-09-17 02:11:56.582621,2024-09-09 13:06:20.802468
26.0,40,193.78104565729518,True,26.0,28.0,14.0,14.948304910896873,2024-09-17 01:46:51.764366,2024-09-09 14:56:53.897679
26.0,40,193.82543510900376,True,26.0,28.0,15.0,17.507005440871744,2024-09-17 01:49:31.566392,2024-09-09 17:30:25.219587
26.0,40,194.35971523136777,True,26.0,28.0,16.0,20.863920810085162,2024-09-17 02:21:34.974833,2024-09-09 20:51:50.114916
26.0,40,196.07048303244252,True,26.0,28.0,17.0,25.265772136385984,2024-09-17 04:04:13.738917,2024-09-10 01:15:56.779691
26.0,40,194.63867812182593,True,26.0,28.0,18.0,25.959047947073508,2024-09-17 02:38:19.241239,2024-09-10 01:57:32.572609
26.0,40,193.85149636640256,True,26.0,28.0,19.0,27.25203623254268,2024-09-17 01:51:05.386919,2024-09-10 03:15:07.330437
26.0,40,195.89278901455,True,26.0,28.0,20.0,31.809911477545228,2024-09-17 03:53:34.040452,2024-09-10 07:48:35.681319
26.0,40,195.140733109518,True,26.0,28.0,21.0,33.74777593969114,2024-09-17 03:08:26.639194,2024-09-10 09:44:51.993383
26.0,40,196.70741150466893,True,26.0,28.0,22.0,38.144145542937295,2024-09-17 04:42:26.681417,2024-09-10 14:08:38.923955
26.0,40,196.8138456351301,True,26.0,28.0,23.0,41.092351635372474,2024-09-17 04:48:49.844286,2024-09-10 17:05:32.465887
26.0,40,196.27913812292735,True,26.0,28.0,24.0,43.66750325308561,2024-09-17 04:16:44.897243,2024-09-10 19:40:03.011711
26.0,40,199.30749172124038,True,26.0,28.0,25.0,50.31231999640315,2024-09-17 07:18:26.970196,2024-09-11 02:18:44.351987
26.0,40,199.1732572985701,True,26.0,28.0,26.0,53.89855757417472,2024-09-17 07:10:23.726275,2024-09-11 05:53:54.807267
26.0,40,199.25272621203044,True,26.0,28.0,27.0,58.10967043966076,2024-09-17 07:15:09.814363,2024-09-11 10:06:34.813583
26.0,40,199.30851155550647,True,26.0,28.0,28.0,63.54809980294489,2024-09-17 07:18:30.641600,2024-09-11 15:32:53.159291
26.0,40,203.6685223672477,True,26.0,28.0,29.0,74.65792373121776,2024-09-17 11:40:06.680522,2024-09-12 02:39:28.525432
26.0,40,202.7081989656973,True,26.0,28.0,30.0,81.16030658506637,2024-09-17 10:42:29.516277,2024-09-12 09:09:37.103706
26.0,40,209.7423246397616,True,26.0,28.0,31.0,95.77085094853544,2024-09-17 17:44:32.368703,2024-09-12 23:46:15.063415
26.0,40,208.53796179872168,True,26.0,28.0,32.0,101.08824133860436,2024-09-17 16:32:16.662475,2024-09-13 05:05:17.668819
26.0,40,206.18970122659118,True,26.0,28.0,33.0,105.46271466504543,2024-09-17 14:11:22.924416,2024-09-13 09:27:45.772794
26.0,40,212.59423913477448,True,26.0,28.0,34.0,120.70645474596375,2024-09-17 20:35:39.260885,2024-09-14 00:42:23.237085
26.0,40,220.99444922279355,True,26.0,28.0,35.0,138.8024908145712,2024-09-18 04:59:40.017202,2024-09-14 18:48:08.966932
26.0,40,214.10556941194508,True,26.0,28.0,36.0,142.1084821529565,2024-09-17 22:06:20.049883,2024-09-14 22:06:30.535751
26.0,40,227.6825564955928,True,26.0,28.0,37.0,168.94992606027017,2024-09-18 11:40:57.203384,2024-09-16 00:56:59.733817
26.0,40,235.0728618172741,True,26.0,28.0,38.0,191.89178487925824,2024-09-18 19:04:22.302542,2024-09-16 23:53:30.425565
26.0,40,241.2383241728111,True,26.0,28.0,39.0,216.09745246601767,2024-09-19 01:14:17.967022,2024-09-18 00:05:50.828878
28.0,10,6.46078536648626,True,28.0,26.0,0.0,0.0,2024-09-09 06:27:38.827319,2024-09-09 00:00:00.000000
28.0,10,6.404764066016457,True,28.0,26.0,1.0,0.07756227959373074,2024-09-09 06:24:17.150638,2024-09-09 00:04:39.224207
28.0,10,6.3151598854104325,True,28.0,26.0,2.0,0.3666016353650159,2024-09-09 06:18:54.575587,2024-09-09 00:21:59.765887
28.0,10,6.180214400891803,True,28.0,26.0,3.0,0.8005315220216386,2024-09-09 06:10:48.771843,2024-09-09 00:48:01.913479
28.0,10,6.005222507503641,True,28.0,26.0,4.0,1.3067156426447524,2024-09-09 06:00:18.801027,2024-09-09 01:18:24.176314
28.0,10,5.953805954967336,True,28.0,26.0,5.0,1.8278452317527698,2024-09-09 05:57:13.701438,2024-09-09 01:49:40.242834
28.0,10,5.909599859790489,True,28.0,26.0,6.0,2.362350010667016,2024-09-09 05:54:34.559495,2024-09-09 02:21:44.460038
28.0,10,5.875592370514269,True,28.0,26.0,7.0,2.9462100307128516,2024-09-09 05:52:32.132534,2024-09-09 02:56:46.356111
28.0,10,6.100069927390745,True,28.0,26.0,8.0,3.6726395704164894,2024-09-09 06:06:00.251739,2024-09-09 03:40:21.502453
28.0,10,5.820230570075599,True,28.0,26.0,9.0,4.656122595316741,2024-09-09 05:49:12.830052,2024-09-09 04:39:22.041343
28.0,20,31.809911477545228,True,28.0,26.0,0.0,0.0,2024-09-10 07:48:35.681319,2024-09-09 00:00:00.000000
28.0,20,31.753890177075426,True,28.0,26.0,1.0,0.07756227959373074,2024-09-10 07:45:14.004637,2024-09-09 00:04:39.224207
28.0,20,31.6642859964694,True,28.0,26.0,2.0,0.3666016353650159,2024-09-10 07:39:51.429587,2024-09-09 00:21:59.765887
28.0,20,31.52934051195077,True,28.0,26.0,3.0,0.8005315220216386,2024-09-10 07:31:45.625843,2024-09-09 00:48:01.913479
28.0,20,31.35434861856261,True,28.0,26.0,4.0,1.3067156426447524,2024-09-10 07:21:15.655027,2024-09-09 01:18:24.176314
28.0,20,31.3029320660263,True,28.0,26.0,5.0,1.8278452317527698,2024-09-10 07:18:10.555438,2024-09-09 01:49:40.242834
28.0,20,31.258725970849454,True,28.0,26.0,6.0,2.362350010667016,2024-09-10 07:15:31.413495,2024-09-09 02:21:44.460038
28.0,20,31.224718481573237,True,28.0,26.0,7.0,2.9462100307128516,2024-09-10 07:13:28.986534,2024-09-09 02:56:46.356111
28.0,20,31.449196038449713,True,28.0,26.0,8.0,3.6726395704164894,2024-09-10 07:26:57.105738,2024-09-09 03:40:21.502453
28.0,20,31.16935668113457,True,28.0,26.0,9.0,4.656122595316741,2024-09-10 07:10:09.684052,2024-09-09 04:39:22.041343
28.0,20,31.274577599164875,True,28.0,26.0,10.0,5.925451488105906,2024-09-10 07:16:28.479357,2024-09-09 05:55:31.625357
28.0,20,31.042933359368487,True,28.0,26.0,11.0,7.519614990913812,2024-09-10 07:02:34.560094,2024-09-09 07:31:10.613967
28.0,20,30.990369885428926,True,28.0,26.0,12.0,9.440064382255569,2024-09-10 06:59:25.331588,2024-09-09 09:26:24.231776
28.0,20,30.294311396336894,True,28.0,26.0,13.0,11.590178382137909,2024-09-10 06:17:39.521027,2024-09-09 11:35:24.642176
28.0,20,30.7123164671504,True,28.0,26.0,14.0,13.850709900502048,2024-09-10 06:42:44.339282,2024-09-09 13:51:02.555642
28.0,20,30.667927015441837,True,28.0,26.0,15.0,16.365020978768353,2024-09-10 06:40:04.537256,2024-09-09 16:21:54.075524
28.0,20,30.13364689307783,True,28.0,26.0,16.0,19.187656225617765,2024-09-10 06:08:01.128815,2024-09-09 19:11:15.562412
28.0,20,28.422879092003058,True,28.0,26.0,17.0,21.878739750843813,2024-09-10 04:25:22.364731,2024-09-09 21:52:43.463103
28.0,20,29.85468400261966,True,28.0,26.0,18.0,24.00382047214794,2024-09-10 05:51:16.862409,2024-09-10 00:00:13.753700
28.0,20,30.641865758043025,True,28.0,26.0,19.0,26.083990513040476,2024-09-10 06:38:30.716729,2024-09-10 02:05:02.365847
28.0,30,81.16030658506637,True,28.0,26.0,0.0,0.0,2024-09-12 09:09:37.103706,2024-09-09 00:00:00.000000
28.0,30,81.10428528459657,True,28.0,26.0,1.0,0.07756227959373074,2024-09-12 09:06:15.427025,2024-09-09 00:04:39.224207
28.0,30,81.01468110399054,True,28.0,26.0,2.0,0.3666016353650159,2024-09-12 09:00:52.851974,2024-09-09 00:21:59.765887
28.0,30,80.87973561947192,True,28.0,26.0,3.0,0.8005315220216386,2024-09-12 08:52:47.048230,2024-09-09 00:48:01.913479
28.0,30,80.70474372608373,True,28.0,26.0,4.0,1.3067156426447524,2024-09-12 08:42:17.077414,2024-09-09 01:18:24.176314
28.0,30,80.65332717354745,True,28.0,26.0,5.0,1.8278452317527698,2024-09-12 08:39:11.977825,2024-09-09 01:49:40.242834
28.0,30,80.60912107837059,True,28.0,26.0,6.0,2.362350010667016,2024-09-12 08:36:32.835882,2024-09-09 02:21:44.460038
28.0,30,80.57511358909437,True,28.0,26.0,7.0,2.9462100307128516,2024-09-12 08:34:30.408921,2024-09-09 02:56:46.356111
28.0,30,80.79959114597085,True,28.0,26.0,8.0,3.6726395704164894,2024-09-12 08:47:58.528125,2024-09-09 03:40:21.502453
28.0,30,80.51975178865571,True,28.0,26.0,9.0,4.656122595316741,2024-09-12 08:31:11.106439,2024-09-09 04:39:22.041343
28.0,30,80.62497270668601,True,28.0,26.0,10.0,5.925451488105906,2024-09-12 08:37:29.901744,2024-09-09 05:55:31.625357
28.0,30,80.39332846688961,True,28.0,26.0,11.0,7.519614990913812,2024-09-12 08:23:35.982481,2024-09-09 07:31:10.613967
28.0,30,80.34076499295007,True,28.0,26.0,12.0,9.440064382255569,2024-09-12 08:20:26.753975,2024-09-09 09:26:24.231776
28.0,30,79.64470650385803,True,28.0,26.0,13.0,11.590178382137909,2024-09-12 07:38:40.943414,2024-09-09 11:35:24.642176
28.0,30,80.06271157467155,True,28.0,26.0,14.0,13.850709900502048,2024-09-12 08:03:45.761669,2024-09-09 13:51:02.555642
28.0,30,80.01832212296297,True,28.0,26.0,15.0,16.365020978768353,2024-09-12 08:01:05.959643,2024-09-09 16:21:54.075524
28.0,30,79.48404200059898,True,28.0,26.0,16.0,19.187656225617765,2024-09-12 07:29:02.551202,2024-09-09 19:11:15.562412
28.0,30,77.7732741995242,True,28.0,26.0,17.0,21.878739750843813,2024-09-12 05:46:23.787118,2024-09-09 21:52:43.463103
28.0,30,79.2050791101408,True,28.0,26.0,18.0,24.00382047214794,2024-09-12 07:12:18.284797,2024-09-10 00:00:13.753700
28.0,30,79.99226086556416,True,28.0,26.0,19.0,26.083990513040476,2024-09-12 07:59:32.139116,2024-09-10 02:05:02.365847
28.0,30,77.95096821741672,True,28.0,26.0,20.0,28.600573109895578,2024-09-12 05:57:03.485583,2024-09-10 04:36:02.063196
28.0,30,78.70302412244871,True,28.0,26.0,21.0,31.290493477073476,2024-09-12 06:42:10.886841,2024-09-10 07:17:25.776517
28.0,30,77.13634572729777,True,28.0,26.0,22.0,34.120184685168695,2024-09-12 05:08:10.844618,2024-09-10 10:07:12.664867
28.0,30,77.02991159683663,True,28.0,26.0,23.0,36.96195664714273,2024-09-12 05:01:47.681749,2024-09-10 12:57:43.043930
28.0,30,77.56461910903937,True,28.0,26.0,24.0,40.07181577705862,2024-09-12 05:33:52.628793,2024-09-10 16:04:18.536797
28.0,30,74.53626551072632,True,28.0,26.0,25.0,43.688278922063105,2024-09-12 02:32:10.555839,2024-09-10 19:41:17.804119
28.0,30,74.67049993339661,True,28.0,26.0,26.0,47.408750922504964,2024-09-12 02:40:13.799760,2024-09-10 23:24:31.503321
28.0,30,74.5910310199363,True,28.0,26.0,27.0,51.54039487453069,2024-09-12 02:35:27.711672,2024-09-11 03:32:25.421548
28.0,30,74.53524567646024,True,28.0,26.0,28.0,56.92303889433876,2024-09-12 02:32:06.884435,2024-09-11 08:55:22.940020
28.0,30,70.175234864719,True,28.0,26.0,29.0,63.6728520108704,2024-09-11 22:10:30.845513,2024-09-11 15:40:22.267239
28.0,40,240.33702821377182,True,28.0,26.0,0.0,0.0,2024-09-19 00:20:13.301570,2024-09-09 00:00:00.000000
28.0,40,240.281006913302,True,28.0,26.0,1.0,0.07756227959373074,2024-09-19 00:16:51.624888,2024-09-09 00:04:39.224207
28.0,40,240.191402732696,True,28.0,26.0,2.0,0.3666016353650159,2024-09-19 00:11:29.049838,2024-09-09 00:21:59.765887
28.0,40,240.05645724817734,True,28.0,26.0,3.0,0.8005315220216386,2024-09-19 00:03:23.246093,2024-09-09 00:48:01.913479
28.0,40,239.88146535478919,True,28.0,26.0,4.0,1.3067156426447524,2024-09-18 23:52:53.275277,2024-09-09 01:18:24.176314
28.0,40,239.8300488022529,True,28.0,26.0,5.0,1.8278452317527698,2024-09-18 23:49:48.175688,2024-09-09 01:49:40.242834
28.0,40,239.78584270707606,True,28.0,26.0,6.0,2.362350010667016,2024-09-18 23:47:09.033745,2024-09-09 02:21:44.460038
28.0,40,239.75183521779982,True,28.0,26.0,7.0,2.9462100307128516,2024-09-18 23:45:06.606784,2024-09-09 02:56:46.356111
28.0,40,239.9763127746763,True,28.0,26.0,8.0,3.6726395704164894,2024-09-18 23:58:34.725989,2024-09-09 03:40:21.502453
28.0,40,239.69647341736115,True,28.0,26.0,9.0,4.656122595316741,2024-09-18 23:41:47.304303,2024-09-09 04:39:22.041343
28.0,40,239.80169433539146,True,28.0,26.0,10.0,5.925451488105906,2024-09-18 23:48:06.099607,2024-09-09 05:55:31.625357
28.0,40,239.5700500955951,True,28.0,26.0,11.0,7.519614990913812,2024-09-18 23:34:12.180344,2024-09-09 07:31:10.613967
28.0,40,239.5174866216555,True,28.0,26.0,12.0,9.440064382255569,2024-09-18 23:31:02.951838,2024-09-09 09:26:24.231776
28.0,40,238.82142813256348,True,28.0,26.0,13.0,11.590178382137909,2024-09-18 22:49:17.141277,2024-09-09 11:35:24.642176
28.0,40,239.239433203377,True,28.0,26.0,14.0,13.850709900502048,2024-09-18 23:14:21.959532,2024-09-09 13:51:02.555642
28.0,40,239.1950437516684,True,28.0,26.0,15.0,16.365020978768353,2024-09-18 23:11:42.157506,2024-09-09 16:21:54.075524
28.0,40,238.6607636293044,True,28.0,26.0,16.0,19.187656225617765,2024-09-18 22:39:38.749065,2024-09-09 19:11:15.562412
28.0,40,236.94999582822965,True,28.0,26.0,17.0,21.878739750843813,2024-09-18 20:56:59.984982,2024-09-09 21:52:43.463103
28.0,40,238.38180073884624,True,28.0,26.0,18.0,24.00382047214794,2024-09-18 22:22:54.482660,2024-09-10 00:00:13.753700
