Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Start_Time,Exact_Switch_Time,weekday_exact,time_exact,weekday_switch,time_switch
18.0,10,9.723687511628738,True,18.0,20.0,9.0,7.924623949797507,2024-09-16 18:43:25.275042,2024-09-16 09:00:00,2024-09-16 16:55:28.646219,0,18:43:25.275042,0.0,16:55:28.646219
18.0,10,9.896166474497463,False,,,,,2024-09-16 18:53:46.199308,2024-09-16 09:00:00,,0,18:53:46.199308,,
20.0,10,9.896166474497463,True,20.0,18.0,0.0,0.0,2024-09-16 18:53:46.199308,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,18:53:46.199308,0.0,09:00:00
20.0,10,9.896166474497463,True,20.0,18.0,1.0,0.0,2024-09-16 18:53:46.199308,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,18:53:46.199308,0.0,09:00:00
20.0,10,9.896166474497463,True,20.0,18.0,2.0,0.0,2024-09-16 18:53:46.199308,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,18:53:46.199308,0.0,09:00:00
32.0,20,21.689374520691146,True,32.0,28.0,17.0,14.967541161639382,2024-09-17 06:41:21.748274,2024-09-16 09:00:00,2024-09-16 23:58:03.148182,1,06:41:21.748274,0.0,23:58:03.148182
28.0,20,21.72590117813871,True,28.0,32.0,0.0,0.0,2024-09-17 06:43:33.244241,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,1,06:43:33.244241,0.0,09:00:00
32.0,20,21.73779124452033,False,,,,,2024-09-17 06:44:16.048480,2024-09-16 09:00:00,,1,06:44:16.048480,,
32.0,20,21.7393331664557,True,32.0,28.0,18.0,17.142580528708063,2024-09-17 06:44:21.599399,2024-09-16 09:00:00,2024-09-17 02:08:33.289903,1,06:44:21.599399,1.0,02:08:33.289903
28.0,20,21.815353524114062,True,28.0,32.0,1.0,0.07756227959373074,2024-09-17 06:48:55.272687,2024-09-16 09:00:00,2024-09-16 09:04:39.224207,1,06:48:55.272687,0.0,09:04:39.224207
32.0,20,21.908486246170707,True,32.0,28.0,19.0,19.391903649315605,2024-09-17 06:54:30.550486,2024-09-16 09:00:00,2024-09-17 04:23:30.853138,1,06:54:30.550486,1.0,04:23:30.853138
28.0,20,22.104392879885346,True,28.0,32.0,2.0,0.3666016353650159,2024-09-17 07:06:15.814368,2024-09-16 09:00:00,2024-09-16 09:21:59.765887,1,07:06:15.814368,0.0,09:21:59.765887
32.0,20,22.26947262184545,True,32.0,28.0,16.0,12.856555737567636,2024-09-17 07:16:10.101439,2024-09-16 09:00:00,2024-09-16 21:51:23.600655,1,07:16:10.101439,0.0,21:51:23.600655
