Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,End_Time,Start_Time,Exact_Switch_Time
26.0,30,71.60700339052204,True,26.0,28.0,10.0,6.460766188240086,2024-11-29 15:30:00,2024-11-26 15:53:34.787794,2024-11-26 22:21:13.546072
26.0,30,71.85803127187177,True,26.0,28.0,11.0,8.28657594154356,2024-11-29 15:30:00,2024-11-26 15:38:31.087421,2024-11-26 23:55:42.760811
26.0,30,71.92654023297513,True,26.0,28.0,12.0,10.25959421538937,2024-11-29 15:30:00,2024-11-26 15:34:24.455161,2024-11-27 01:49:58.994336
26.0,30,72.63545823267708,True,26.0,28.0,13.0,13.105775824973534,2024-11-29 15:30:00,2024-11-26 14:51:52.350362,2024-11-27 03:58:13.143332
26.0,30,72.22773660856768,True,26.0,28.0,14.0,14.948314314151503,2024-11-29 15:30:00,2024-11-26 15:16:20.148209,2024-11-27 06:13:14.079740
26.0,30,72.28043013113205,True,26.0,28.0,15.0,17.507032853882265,2024-11-29 15:30:00,2024-11-26 15:13:10.451528,2024-11-27 08:43:35.769802
26.0,30,72.82160320308543,True,26.0,28.0,16.0,20.863978284731274,2024-11-29 15:30:00,2024-11-26 14:40:42.228469,2024-11-27 11:32:32.550294
26.0,30,74.53807194634868,True,26.0,28.0,17.0,25.26589368970963,2024-11-29 15:30:00,2024-11-26 12:57:42.940993,2024-11-27 14:13:40.158276
26.0,30,73.10926425231668,True,26.0,28.0,18.0,25.959230027510785,2024-11-29 15:30:00,2024-11-26 14:23:26.648692,2024-11-27 16:20:59.876791
26.0,30,72.31761665817834,True,26.0,28.0,19.0,27.25217860835255,2024-11-29 15:30:00,2024-11-26 15:10:56.580031,2024-11-27 18:26:04.423021
26.0,30,74.35263207602333,True,26.0,28.0,20.0,31.810007193320416,2024-11-29 15:30:00,2024-11-26 13:08:50.524526,2024-11-27 20:57:26.550422
26.0,30,73.59486505435092,True,26.0,28.0,21.0,33.74785328805228,2024-11-29 15:30:00,2024-11-26 13:54:18.485804,2024-11-27 23:39:10.757641
26.0,30,75.15699815235752,True,26.0,28.0,22.0,38.14421053273509,2024-11-29 15:30:00,2024-11-26 12:20:34.806652,2024-11-28 02:29:13.964570
26.0,30,75.26023230618142,True,26.0,28.0,23.0,41.0924058801138,2024-11-29 15:30:00,2024-11-26 12:14:23.163698,2024-11-28 05:19:55.824866
26.0,30,74.72369687925988,True,26.0,28.0,24.0,43.667548273652756,2024-11-29 15:30:00,2024-11-26 12:46:34.691235,2024-11-28 08:26:37.865020
